Type,Debt,Introduce Date,Introduce Author,Introduce Comment,Remove Date,Remove Author,Remove Comment,Introduce ID,Remove ID
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,// FIXME: This isn't right for within ensured/rescued code,2008-09-14,Charles Oliver Nutter,More compiler refactoring.,2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,ef600a2c8d8c065a1599734d560be2b975470796,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,// FIXME: I don't like this,2008-02-05,Charles Oliver Nutter,"Merging the new IO implementation to trunk to give it appropriate burn-in time. Give it a go, friends!",2014-05-28,Charles Oliver Nutter,Remove all references to getMainStream[Safe].,66b024fedbb2ee32316ccd9de8387931d07993ec,504738a4306f865fd33afa4b3e2428f105ec0b9c
DESIGN,// This is ugly; checking for the root folder.,2000-08-21,Conor MacNeill,StarTeam checkout task,2007-09-25,Peter Reilly,removing starteam code,dc7444ae578ffecc195c4f19a2afbd086532c849,54bac0e89cab5d40e57a0f33deb102360aa731a6
DESIGN,// XXX: const lookup can trigger const_missing; is that enough to warrant it always being executed?,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
REQUIREMENT,// TODO: this isn't handling multibyte yet,2009-02-05,Charles Oliver Nutter,Add TODO comments I forgot to save in lexer.,2013-02-27,Thomas E. Enebo,Make 'p ?\u{1234}' not crash,8934d858b4d86b5fda74c44d015b29913b437823,6184baab059fdac664db9241e1fea8b50d9af567
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DEFECT,"/**
     * Get value from current scope or one of its captured scopes.
     * 
     * FIXME: block variables are not getting primed to nil so we need to null check those
     *  until we prime them properly.  Also add assert back in.
     * 
     * @param offset zero-indexed value that represents where variable lives
     * @param depth how many captured scopes down this variable should be set
     * @return the value here
     */",2008-07-14,Charles Oliver Nutter,"Add three-var scope, not enabled yet.",NULL,NULL,NULL,aafd3613a2c1104e3c22d2483e3868099999df3e,NULL
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
REQUIREMENT,// SSS FIXME: To be done,2009-09-11,Subramanya Sastry,- Initial code to build CFG for methods; Added jgrapht-jdk1.5 jar which is used by for building the CFG,2012-03-13,Subramanya Sastry,[IR] Package restructuring: org.jruby.compiler.ir -> org.jruby.ir org.jruby.ir.compiler_passes -> org.jruby.ir.passes org.jruby.interpreter -> org.jruby.ir.interpreter,ed478257185aa583e1ffe1a4fc054c7f863d7983,53945eb6cd55a8e2a78c00f7166574fc09d4e845
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
REQUIREMENT,"// TODO: build arg list based on number of args, optionals, etc",2008-09-14,Charles Oliver Nutter,More compiler refactoring.,2011-10-26,Charles Oliver Nutter,Cleanup and centralize all property-based configuration settings.,ef600a2c8d8c065a1599734d560be2b975470796,4a8330815c3e6fc5407b424312fd7d65518203fc
DEFECT,"// FIXME: if we terminate immediately, this appears to break while in method arguments // we need to push a nil for the cases where we will never enter the body",2008-09-14,Charles Oliver Nutter,More compiler refactoring.,2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,ef600a2c8d8c065a1599734d560be2b975470796,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,"/** rb_ary_push_m
     * FIXME: Whis is this named ""push_m""?
     */",2002-09-10,Jan Arne Petersen,- restructure of the code tree.,NULL,NULL,NULL,c77b91f42c4f3810140d44cbe603248a1d52b7ee,NULL
DESIGN,// SSS FIXME: Is this correct?,2009-07-04,Subramanya Sastry,"- Translated buildModule; Fixed code for some other nodes; Commented out about 16 AST nodes that aren't translated yet, and their corresponding code",2010-09-13,Thomas E. Enebo,Damn...I keep removing this on a merge?,3ac65ffe711e83b5da7959a7f23524d48f420575,8dff5b2a57d0880cd1d7d23b96aa1ff3dc47467c
DESIGN,// SSS FIXME: Is this correct?,2009-07-04,Subramanya Sastry,"- Translated buildModule; Fixed code for some other nodes; Commented out about 16 AST nodes that aren't translated yet, and their corresponding code",2010-09-13,Thomas E. Enebo,Damn...I keep removing this on a merge?,3ac65ffe711e83b5da7959a7f23524d48f420575,8dff5b2a57d0880cd1d7d23b96aa1ff3dc47467c
REQUIREMENT,"// if not already defined, we add a 'new' that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic",2008-05-16,Charles Oliver Nutter,"Early work on a new Java layer that's lighter-weight, more ""raw"", and more explicit.",2009-12-19,Charles Oliver Nutter,Remove MiniJava and all the tendrils it extended through JRuby. Useful remainder moved to org.jruby.java.codegen.RealClassGenerator.,3bb6b82f878bb1fabc16c2155d3cc814c5c0677c,02b8e01b4686b05da6762dd69950835d57dcd653
DESIGN,// TODO: protected methods.  this is going to require a rework // of some of the mechanism.,2007-04-30,Thomas Enebo,JRUBY-903: Java interface modules (by Bill Dortch) Update some samples to use newer syntax Remove miscellaneous unusied imports,2015-02-26,Charles Oliver Nutter,Pull all initialize logic up and out into initializer classes.,0b9733a01274eca99d4b615d8f2418228932157b,be31344448e7db89264bf94d2d431b817f6ca738
DESIGN,// TODO: what about n arg?,2008-05-02,Vladimir Sizikov,Fixes for BigDecimal#mult to pass more rubyspecs.,2015-06-04,kares,avoid deprecated newInstance + one less pattern to match on BigDecimal.new,0c3b435b77b2010ff9fee8bb84a03b1cea64685b,e492b3a4ac42857e9cfa374334cc9706db3a3f36
REQUIREMENT,// TODO same zero-length checks as file above,2008-02-05,Charles Oliver Nutter,"Merging the new IO implementation to trunk to give it appropriate burn-in time. Give it a go, friends!",2010-10-23,Charles Oliver Nutter,Move fields and deprecated methods to bottom of RubyIO.java.,66b024fedbb2ee32316ccd9de8387931d07993ec,589320765488a78747b06c1ebd667b1184d47483
DESIGN,"// TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here, but it's unclear how Structs // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415",2007-01-09,Charles Oliver Nutter,"Damn the torpedos...full steam ahead! Committing fixes for JRUBY-408 to get them out in the wild. There are remaining fixes to be made, but ant test passes, gems install, rails starts, handles requests, and generates.",2012-05-19,Charles Oliver Nutter,Fix JRUBY-6647,b390103c285ce373130c474193f69b87f98fb013,87404f0e152c2dd26870afb4fd406338807f034f
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,// FIXME: not very efficient,2007-11-24,Charles Oliver Nutter,Added no-var and two-var versions of DynamicScope.,2015-04-14,Thomas E. Enebo,"- DynamicScope+children removed no longer used {get,set}ArgValues methods since they are dead. - ArgsNode getRest() replaced by hasRest() or retrieving getRestArgNode directly. - Slight rearrangement internally of fields in ArgsNode. - Remove accidental println from last commit.",d237a30fee4b2a8b2a34303eea80583c8a8872fd,367c2bcd7db1524833484db5af23bac92fa8a531
DESIGN,"// FIXME: NOT_ALLOCATABLE_ALLOCATOR is probably not right here, since we might // eventually want JavaArray to be marshallable. JRUBY-414",2007-01-09,Charles Oliver Nutter,"Damn the torpedos...full steam ahead! Committing fixes for JRUBY-408 to get them out in the wild. There are remaining fixes to be made, but ant test passes, gems install, rails starts, handles requests, and generates.",2015-03-12,kares,a slight Java integration (mostly bootstrap internals) cleanup,b390103c285ce373130c474193f69b87f98fb013,9902ebd3bfe9908e4c863973f4b00c472d793bd7
REQUIREMENT,// SSS FIXME: Should I be returning the operand constructed here?,2009-06-17,Subramanya Sastry,"- Added closure and added a base context from which class, script, method, module, class derive; Translated Array and Break nodes",2009-10-08,Subramanya Sastry,- Few more bug fixes in ir generation -- ir for non-closure break instructions fixed up.,ffb191be27c66d541ceaf8d67885af74dbccf813,4f595491aab0136e9abd762abb85bee0de951d6f
REQUIREMENT,//FIXME: When we get JNA3 we need to properly write this to errno.,2008-02-22,Thomas Enebo,JRUBY-2155: Calling realpath on Solaris symlink causes NPE,2012-09-07,Charles Oliver Nutter,Fix JRUBY-6578: File.readlink with chdir,de33f394b2c3af276d6bbc131cfb0bb8cc64a7ec,89ed6b777f5cc8e3be9d348d4d7d460665ba6ae5
DESIGN,// XXX what is the following doing? //     should it run if !javadoc4 && executable != null?,2005-03-29,Jesse N. Glick,#30606: add 'executable' attr to <javadoc>.,NULL,NULL,NULL,3d67036913aeb416479a16d21f2792575f7b7202,NULL
DESIGN,// not used,2003-11-20,Sebastian Bazley,Result Saver PostProcessor saves results to individual files,NULL,NULL,NULL,5a0a9ac5e7dd4d32a7c28d16ac56fa13cbeada08,NULL
DESIGN,//TODO: Parameterise ?? //Call compiler as class... dont want to fork again //Use classic compiler -- can be parameterised?,2000-09-12,Conor MacNeill,Task to perform JSP compiles using Weblogic's JSPC compiler.,NULL,NULL,NULL,6c26371a0ea6decd9070cd8775f069ee291a6bf1,NULL
DEFECT,// TODO: Ruby locks the string here,2008-02-05,Charles Oliver Nutter,"Merging the new IO implementation to trunk to give it appropriate burn-in time. Give it a go, friends!",2014-05-14,Charles Oliver Nutter,IO#sysread and syswrite.,66b024fedbb2ee32316ccd9de8387931d07993ec,d8ef3bd7225436f06a554004df9bd344d0c28971
REQUIREMENT,// TODO: call ruby method,2007-02-04,Ola Bini,"The BIG one. JRUBY-71. Not perfect yet. The code mostly by Kresten Krab Thorup, with corrections by me.",2015-03-19,kares,cleanup JavaProxyConstructor - share invocation handler + no fixnums on arg conversion ... also added getJavaProxyConstructor onto JavaSupport - so there's less lookup going on,74021949e8b021701844310ef3b11175a9650932,f22aed3bfbabcf2c679d2d101aaacd70f5330a52
DESIGN,// FIXME we want to eliminate these type casts when possible,2007-09-09,Charles Oliver Nutter,"Migrating compiled methods to be instance methods instead of static methods, to be a bit ""safer"" when sharing compiled classes across runtimes (no call-site caches colliding, etc).",2015-06-30,Charles Oliver Nutter,Kill unused method invoker logic and related classes.,dc8c8156b2ece8bc3ec2b3b8f512c184828e58b5,3f44a103f8ab613701f76203ed37d279a57362a7
DESIGN,// FIXME: I think this chunk is equivalent to MRI id2name (and not our public method  // id2name).  Make into method if used more than once.  ,2007-10-25,Thomas Enebo,"JRUBY-1473: newSymbol symbolid's make 1.to_sym, etc... give weird answers JRUBY-1066: Rubinius core/struct_spec failures",2013-10-04,Charles Oliver Nutter,Eliminate calls to Ruby.is1_8 and is1_9.,ec8033ab24e4d0bd6c0baa73bf5c072b38c39990,697e6895affa646849a685ed58f6f84795c853aa
DESIGN,// TODO not used by GUI,2005-10-22,Sebastian Bazley,Path fix was slightly wrong - trailing slash only needed for Set-Cookie2. Fix ClassCastException when loading cookies from file - get(i),NULL,NULL,NULL,c1cdfbacd1593e740ff7f2c848b3cf40d9547957,NULL
DESIGN,// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415,2007-01-09,Charles Oliver Nutter,"Damn the torpedos...full steam ahead! Committing fixes for JRUBY-408 to get them out in the wild. There are remaining fixes to be made, but ant test passes, gems install, rails starts, handles requests, and generates.",2015-01-06,Charles Oliver Nutter,UnboundMethod does NOT extend Method and does NOT define to_proc.,b390103c285ce373130c474193f69b87f98fb013,72234f9074a1574f7dce41b3003442d976809051
DEFECT,// TODO: doesn't putting this here mark the tree as // saved even though a failure may occur later?,2005-09-07,No Author,This commit was manufactured by cvs2svn to create branch 'rel-2-1'.,2015-02-11,Sebastian Bazley,Remove reports package Bugzilla Id: 57269,1f9b913252d711fa9211d2dbe898db70e086c3ce,faf5bc052f3ddf057ad9a868501f7736a38aebda
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,// FIXME:  This determine module is in a strange location and should somehow be in block,2007-11-21,Charles Oliver Nutter,"More method removal/relocation out of IRubyObject. About as much as I can do this evening without making some really popular operations (conversion, instance vars) really cumbersome.",2015-05-05,Thomas E. Enebo,ASTInterpreter dead,a5bedbf63ef922c6d261488521535fc98aad729f,ea02984542f69439635b7cb2aebded21fd0513f4
DESIGN,"// arguments compilers always create IRubyObject[], but we want to use RubyArray.concat here; // FIXME: as a result, this is NOT efficient, since it creates and then later unwraps an array",2007-10-02,Charles Oliver Nutter,Renaming NodeCompilerFactory to ASTCompiler,2011-06-16,Charles Oliver Nutter,"Improve performance of ""argscat"" call form (as in foo(1, *a))",5b26d393c98428187d94b7bb168a037380b6f33c,3be905f38b26668ad53fc197784629aa338fefee
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,"// We clone dynamic scope because this will be a new instance of a block.  Any previously // captured instances of this block may still be around and we do not want to start // overwriting those values when we create a new one. // ENEBO: Once we make self, lastClass, and lastMethod immutable we can remove duplicate",2007-11-10,Charles Oliver Nutter,"Ooops, missed adding new InterpretedBlock",2010-11-16,Thomas E. Enebo,Create ContextAwareBlockBody to Dry up common blockbody code,94092a404be223d943ab72578fd883b8ca586a18,0e0ffe2e5c18927119cb9cd45764f935b9956dce
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,// ignore...bean doesn't get registered // TODO: Why does that bother me?,2009-02-24,Charles Oliver Nutter,Minor tweaks to get JRuby running unmodified on Android:,NULL,NULL,NULL,28bf75a9274a3a32b64930ea6d401fd494173e44,NULL
DESIGN,// TODO: Make this more intelligible value,2008-02-05,Charles Oliver Nutter,"Merging the new IO implementation to trunk to give it appropriate burn-in time. Give it a go, friends!",2013-02-07,Thomas E. Enebo,Add better toString for debugging for ModeFlags,66b024fedbb2ee32316ccd9de8387931d07993ec,e04c88bdf4a4d8c7c55ecd523afd4f896069bbaf
REQUIREMENT,// TODO: check for ascii string,2008-11-07,Marcin Mielżyński,"1.9 Encoding class and runtime encoding services. Support for finding, listing names and aliases, lazy loading, proper encoding name constantization. Very lazy encoding loading scheme to exploit encoding method devirtualization which 1.9 can't do. Next big step: make jcodings Encoding a ByteList member (so we get for free String, Regexp and File/IO encoding storage).",2011-01-26,Charles Oliver Nutter,Improve and expand fix for JRUBY-5406 and centralize encoding lookup logic in EncodingService.,3d6d3488de997e1d6bfa895f3b24186e372791ed,891409e4b2333d9b73ad9db8ab9faadb6892e53b
DEFECT,//      FIXME: check how ruby 1.9 handles this,2009-09-01,David Calavera,"defaults IO encoding, merged with headius' patch",2012-01-31,Charles Oliver Nutter,First large-scale refactoring to better support IO encodings.,79ae9a9bdb990d7115922a08642be9da447b6247,4a09d081fa10b293f65d0ca058605a5b6b4ba04f
TEST,"// JUNIT3 test //assertEquals(error, JUnitTestRunner.FAILURES, runner.getRetCode()); //@fixme as of now does not report the original stacktrace. //assertTrue(error, error.indexOf(""thrown on purpose"") != -1);",2006-10-08,Peter Reilly,For JUnitTestRunnerTest: testInvalidTestCase and testNoTestCase JUnit4 adaption returns an ERROR wheres JUnit3 returns a FAILURE. Modify testcase to reflect this.,NULL,NULL,NULL,3b6aedbd218dfdc3284e0ba331a686b2a8448722,NULL
DESIGN,// Create block for this iter node // FIXME: We shouldn't use the current scope if it's not actually from the same hierarchy of static scopes,2009-01-21,Charles Oliver Nutter,Modify interpreter to always order block/blockpass strictly left-to-right wrt receiver and arguments. Update to latest RubySpecs which tests this behavior.,2013-03-28,Charles Oliver Nutter,Move RuntimeHelpers to org.jruby.runtime.Helpers.,7af96b98ddeb5dbcfcbcc0c439dd47db863d3d7b,bb98e4b8decffc0361b70a6c99c1ade5fed0abcb
DESIGN,// FIXME: not very efficient,2007-11-24,Charles Oliver Nutter,Added no-var and two-var versions of DynamicScope.,2015-04-14,Thomas E. Enebo,"- DynamicScope+children removed no longer used {get,set}ArgValues methods since they are dead. - ArgsNode getRest() replaced by hasRest() or retrieving getRestArgNode directly. - Slight rearrangement internally of fields in ArgsNode. - Remove accidental println from last commit.",d237a30fee4b2a8b2a34303eea80583c8a8872fd,367c2bcd7db1524833484db5af23bac92fa8a531
DESIGN,// TODO: wire into new exception handling mechanism,2007-04-07,Charles Oliver Nutter,"Added three more nodes to the compiler, added a couple extra STI methods the shootout uses, fixed a bug with dstr node compilation, enabled const nodes as ""safe"" since they appear to be working right in the contexts I've tried.",2012-11-28,Charles Oliver Nutter,More decoupling of constant lookup from ThreadContext.,3fa144ebbc464129d9d83ee34463bab17c2d0f9b,efd8a3df54daa1e5b6853d07db52fd6ac23a767b
DEFECT,"// FIXME: this seems like a good assertion, but it breaks compiled code and the code seems // to run without it... //assert currentModule != null : ""Can't push null RubyClass"";",2007-09-17,Charles Oliver Nutter,"Enable super compilation! I had to disable an assertion to do it, but it doesn't seem to hurt things and I have a big fixme on it.",2014-06-30,Subramanya Sastry,Death to rubyclass stack: Part 2 of 2,da93dd9b1dd846030adeda074e68f156dcc3ef42,6225d60e792b3f60adbd76b15958ba3b221f2279
DEFECT,"// FIXME: if we terminate immediately, this appears to break while in method arguments // we need to push a nil for the cases where we will never enter the body",2008-09-14,Charles Oliver Nutter,More compiler refactoring.,2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,ef600a2c8d8c065a1599734d560be2b975470796,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,"// if body is a rescue node, inspect its pieces separately to avoid it disabling all optz // TODO: this is gross.",2009-01-23,Charles Oliver Nutter,Get whole-body rescues to optimize the same way a non-rescued method body would.,2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,57f9436a667bca75602544533debcc83319789d6,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,"// if body is a rescue node, inspect its pieces separately to avoid it disabling all optz // TODO: this is gross.",2009-01-23,Charles Oliver Nutter,Get whole-body rescues to optimize the same way a non-rescued method body would.,2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,57f9436a667bca75602544533debcc83319789d6,ed54aab184bed0dc9dbaaf90b357c8f793c33696
REQUIREMENT,// FIXME: Pass block down?,2007-01-27,Thomas Enebo,JRUBY-484: Reverse Iter Call relationship in AST and also pass block via Java frame versus maintaining blocks in TC,NULL,NULL,NULL,5c0789044de8703f41bdf83f29552ba29ad048f6,NULL
