Type,Debt,Introduce Date,Introduce Author,Introduce Comment,Remove Date,Remove Author,Remove Comment,Introduce ID,Remove ID
DESIGN,// TO DO: This should be replaced to explicitly check exception // class name after YARN-142,2013-04-26,Vinod Kumar Vavilapalli,YARN-562. Modified NM to reject any containers allocated by a previous ResourceManager. Contributed by Jian He. MAPREDUCE-5167. Update MR App after YARN-562 to use the new builder API for the container. Contributed by Jian He.,2013-06-11,Siddharth Seth,YARN-737. Throw some specific exceptions directly instead of wrapping them in YarnException. Contributed by Jian He.,fbb55784d93e1a819daf55d936e864d344579cbf,c6c41abf683be17c3917a7f94953b55347aaa69f
DESIGN,//TODO: check ns quota,2012-10-21,Tsz-wo Sze,HDFS-4079. Add SnapshotManager which maintains a list for all the snapshottable directories and supports snapshot methods such as setting a directory to snapshottable and creating a snapshot.,2012-10-26,Suresh Srinivas,"HDFS-4111. Support snapshot of subtrees. Contributed by Tsz Wo (Nicholas), Sze.",820b5495caf032983f6bef2c1cd95af44ed7fa10,9e26fdcda7957962088f2c2bef2b3ba0324e6dd1
DESIGN,//TODO: support INodeFileUnderConstruction,2012-10-26,Suresh Srinivas,"HDFS-4111. Support snapshot of subtrees. Contributed by Tsz Wo (Nicholas), Sze.",2012-12-21,Tsz-wo Sze,HDFS-4103. Support O(1) snapshot creation.,9e26fdcda7957962088f2c2bef2b3ba0324e6dd1,b9f965de120b5278ac84a7e98aecb32aafde4c16
DESIGN,//TODO Check for null key/value?,2011-12-16,Amar Kamat,MAPREDUCE-778. Rumen Anonymizer. (Amar Kamat and Chris Douglas via amarrk),NULL,NULL,NULL,a238f931ea7dce0ca620d1798156c84ff77097ff,NULL
DESIGN,// this is a dirty hack - but should be ok for a unittest.,2011-10-18,Arun Murthy,MAPREDUCE-3068. Added a whitelist of environment variables for containers from the NodeManager and set MALLOC_ARENA_MAX for all daemons and containers. Contributed by Chris Riccomini.,2013-04-23,Vinod Kumar Vavilapalli,YARN-561. Modified NodeManager to set key information into the environment of every container that it launches. Contributed by Xuan Gong. MAPREDUCE-5175. Updated MR App to not set envs that will be set by NMs anyways after YARN-561. Contributed by Xuan Gong.,c1d90772b6e38bb4e4be7ed75cb5d34f3048ad7b,27e8c86999bc6a972a99216060b11ef35b7de858
DESIGN,"// TODO: For now, set all fair shares to 0, because, in the context of DRF, // it doesn't make sense to set a value for each resource.  YARN-736 should // add in a sensible replacement.",2013-06-03,Alejandro Abdelnur,YARN-326. Add multi-resource scheduling to the fair scheduler. (sandyr via tucu),2013-06-24,Alejandro Abdelnur,YARN-736. Add a multi-resource fair sharing metric. (sandyr via tucu),c1b635ed4826b0f9c8574d262dfeb13fa5ceb650,e60fbbcc2e6a0d27d588b620817d29d1c70893a5
DESIGN,//TODO compression? //TODO Other job configs like FileOutputFormat/FileInputFormat etc,2011-12-16,Amar Kamat,MAPREDUCE-778. Rumen Anonymizer. (Amar Kamat and Chris Douglas via amarrk),NULL,NULL,NULL,a238f931ea7dce0ca620d1798156c84ff77097ff,NULL
DESIGN,"// TODO: this can hang for quite some time if the client // is currently in the middle of a call to a downed JN. // We should instead do this asynchronously, and just stop // making any more calls after this point (eg clear the queue)",2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,NULL,NULL,NULL,74d4573a23db5586c6e47ff2277aa7c35237da34,NULL
DESIGN,"// TODO: this can hang for quite some time if the client // is currently in the middle of a call to a downed JN. // We should instead do this asynchronously, and just stop // making any more calls after this point (eg clear the queue)",2013-07-11,Chris Nauroth,HDFS-4372. Track NameNode startup progress. Contributed by Chris Nauroth.,NULL,NULL,NULL,da8e962e39bd41b73b53966826c82e741b08010b,NULL
DESIGN,"// TODO: this can hang for quite some time if the client // is currently in the middle of a call to a downed JN. // We should instead do this asynchronously, and just stop // making any more calls after this point (eg clear the queue)",2015-06-02,Jing Zhao,HDFS-8517. Fix a decoding issue in stripped block recovering in client side. Contributed by Kai Zheng.,NULL,NULL,NULL,71329e817b99dbee630f902fa3640c3c93f04a44,NULL
DESIGN,"// TODO: this can hang for quite some time if the client // is currently in the middle of a call to a downed JN. // We should instead do this asynchronously, and just stop // making any more calls after this point (eg clear the queue)",2015-06-23,Aaron T. Myers,HDFS-6440. Support more than 2 NameNodes. Contributed by Jesse Yates.,NULL,NULL,NULL,49dfad942970459297f72632ed8dfd353e0c86de,NULL
DESIGN,// FIXME: TestApplicationCleanup is relying on unnormalized behavior.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2011-10-19,Arun Murthy,MAPREDUCE-2788. Normalize resource requests in FifoScheduler appropriately. Contributed by Ahmed Radwan.,dbecbe5dfe50f834fc3b8401709079e9470cc517,e549ac93694f768f2e26706a54a1b45dea6d2844
DESIGN,// TODO: Fix store,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,// TODO fix recovery,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2012-11-29,Arun Murthy,YARN-229. Remove old unused RM recovery code. Contributed by Bikas Saha.,dbecbe5dfe50f834fc3b8401709079e9470cc517,1943fdbec613715f3cdc3ca60cbd273115f28299
DESIGN,// TODO Verify this is correct.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2011-10-19,Vinod Kumar Vavilapalli,MAPREDUCE-3144. Augmented JobHistory with the information needed for serving aggregated logs. Contributed by Siddharth Seth.,dbecbe5dfe50f834fc3b8401709079e9470cc517,13e4562924a6cb3d16c262e0f595b2ffbf9e0546
DESIGN,"// TODO: check that md5s match up between any ""tied"" logs",2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-19,Todd Lipcon,"HDFS-3950. QJM: misc TODO cleanup, improved log messages, etc. Contributed by Todd Lipcon.",74d4573a23db5586c6e47ff2277aa7c35237da34,663e7484c04c197eed53f10a7808140f1c955277
DESIGN,// TODO: can we do better here?,2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-06,Todd Lipcon,HDFS-3891. Make selectInputStreams throw IOE instead of RTE. Contributed by Todd Lipcon.,74d4573a23db5586c6e47ff2277aa7c35237da34,437948ea1c0c9c61c2b5049b82ffd9525f33be97
DESIGN,"// Sanity check: we should only get here if none of the responses had // a log. This should be a postcondition of the recovery comparator, // but a bug in the comparator might cause us to get here.",2012-08-15,Todd Lipcon,HDFS-3799. QJM: handle empty log segments during recovery. Contributed by Todd Lipcon.,NULL,NULL,NULL,c95a1674b61ef2a6963dc64604986ef90a8c636d,NULL
DESIGN,"// Sanity check: we should only get here if none of the responses had // a log. This should be a postcondition of the recovery comparator, // but a bug in the comparator might cause us to get here.",2013-07-11,Chris Nauroth,HDFS-4372. Track NameNode startup progress. Contributed by Chris Nauroth.,NULL,NULL,NULL,da8e962e39bd41b73b53966826c82e741b08010b,NULL
DESIGN,// TODO: this failed once because it caught a ckpt file -- maybe // this is possible if one of the NNs is really fast and the other is slow? // need to loop this to suss out the race.,2012-01-05,Todd Lipcon,HDFS-2291. Allow the StandbyNode to make checkpoints in an HA setup. Contributed by Todd Lipcon.,2012-02-29,Aaron Myers,HDFS-2920. fix remaining TODO items. Contributed by Aaron T. Myers and Todd Lipcon.,5b8dcb20a2fad2e7e9dee56c451f68f9d865b5ae,978a8050e28b2afb193a3e00d82a8475fa4d2428
DESIGN,//TODO disable check access for now.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2012-02-29,Siddharth Seth,MAPREDUCE-3903. Add support for mapreduce admin users. (Contributed by Thomas Graves),dbecbe5dfe50f834fc3b8401709079e9470cc517,3cbb9d20d0bf9d4f28c64bd56c5b9c7dd70ed801
DESIGN,//TODO: un-comment checkFullFile once the lease recovery is done,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,//TODO Should we do a clone?,2011-12-16,Amar Kamat,MAPREDUCE-778. Rumen Anonymizer. (Amar Kamat and Chris Douglas via amarrk),NULL,NULL,NULL,a238f931ea7dce0ca620d1798156c84ff77097ff,NULL
DESIGN,// TODO Could verify the correct format for these directories.,2012-04-10,Thomas Graves,MAPREDUCE-4059. The history server should have a separate pluggable storage/query interface. (Robert Evans via tgraves).,NULL,NULL,NULL,cbb5f6109097a77f18f5fb0ba62ac132b8fa980f,NULL
DESIGN,// TODO make this thread safe without the synchronize,2012-04-10,Thomas Graves,MAPREDUCE-4059. The history server should have a separate pluggable storage/query interface. (Robert Evans via tgraves).,2012-04-18,Siddharth Seth,MAPREDUCE-3972. Fix locking and exception issues in JobHistory server. (Contributed by Robert Joseph Evans),cbb5f6109097a77f18f5fb0ba62ac132b8fa980f,7d04a96027ad75877b41b7cd8f67455dd13159d7
DESIGN,// TODO this should be replaced by something that knows about the directory // structure and will put less of a load on HDFS.,2012-04-10,Thomas Graves,MAPREDUCE-4059. The history server should have a separate pluggable storage/query interface. (Robert Evans via tgraves).,NULL,NULL,NULL,cbb5f6109097a77f18f5fb0ba62ac132b8fa980f,NULL
DESIGN,"//There is a race here, where more then one thread could be trying to // remove entries.  This could result in too many entries being removed // from the cache.  This is considered OK as the size of the cache // should be rather large, and we would rather have performance over // keeping the cache size exactly at the maximum.",2012-04-18,Siddharth Seth,MAPREDUCE-3972. Fix locking and exception issues in JobHistory server. (Contributed by Robert Joseph Evans),NULL,NULL,NULL,7d04a96027ad75877b41b7cd8f67455dd13159d7,NULL
DESIGN,"// TODO it would be great to limit how often this happens, except in the // case where we are looking for a particular job.",2012-04-18,Siddharth Seth,MAPREDUCE-3972. Fix locking and exception issues in JobHistory server. (Contributed by Robert Joseph Evans),NULL,NULL,NULL,7d04a96027ad75877b41b7cd8f67455dd13159d7,NULL
DESIGN,//TODO Add a timeout. State.STOPPED check ?,2011-10-28,Vinod Kumar Vavilapalli,MAPREDUCE-2989. Modified JobHistory to link to task and AM logs from the JobHistoryServer. Contributed by Siddharth Seth.,NULL,NULL,NULL,670fa24b48acb407c22fbfdde87ae3123dcbf449,NULL
DESIGN,//TODO Add a timeout. State.STOPPED check ?,2014-06-10,Chris Nauroth,"HADOOP-9629. Support Windows Azure Storage - Blob as a file system in Hadoop. Contributed by Dexter Bradshaw, Mostafa Elhemali, Xi Fang, Johannes Klein, David Lao, Mike Liddell, Chuan Liu, Lengning Liu, Ivan Mitic, Michael Rys, Alexander Stojanovic, Brian Swan, and Min Wei.",NULL,NULL,NULL,81bc395deb3ba00567dc067d6ca71bacf9e3bc82,NULL
DESIGN,//PATTERN is not currently used in local mode,2012-09-26,Thomas Graves,MAPREDUCE-4647. We should only unjar jobjar if there is a lib directory in it. (Robert Evans via tgraves),NULL,NULL,NULL,050fd3a11744cde3d54c1fff23d8fdeb3803bf92,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2013-06-28,Alejandro Abdelnur,MAPREDUCE-5333. Add test that verifies MRAM works correctly when sending requests with non-normalized capabilities. (ywskycn via tucu),NULL,NULL,NULL,27a50a2bef90faed231585ab535502f2f7bf9563,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2011-12-20,Arun Murthy,MAPREDUCE-3376. Fixed Task to ensure it passes reporter to combiners using old MR api. Contributed by Subroto Sanyal.,NULL,NULL,NULL,96247ead035cc4d6b7be477e1875e8112298ce3d,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2014-02-05,Jing Zhao,HDFS-5873. dfs.http.policy should have higher precedence over dfs.https.enable. Contributed by Haohui Mai.,NULL,NULL,NULL,d598b6ef9f10ae011fecbe198360cde63a4e4d50,NULL
DESIGN,"// The CLI package should do this for us, but I can't figure out how // to make it print something reasonable.",2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,"// The CLI package should do this for us, but I can't figure out how // to make it print something reasonable.",2013-09-27,Jason Darrell Lowe,MAPREDUCE-5332. Support token-preserving restart of history server. Contributed by Jason Lowe,NULL,NULL,NULL,2627e352d630d19c35b97eea9ef603342feb379f,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2014-02-05,Jing Zhao,HDFS-5873. dfs.http.policy should have higher precedence over dfs.https.enable. Contributed by Haohui Mai.,NULL,NULL,NULL,d598b6ef9f10ae011fecbe198360cde63a4e4d50,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2013-09-27,Alejandro Abdelnur,YARN-1021. Yarn Scheduler Load Simulator. (ywskycn via tucu),NULL,NULL,NULL,58b08e11b9f04c9190ab4a07473f0ee04e01ec6b,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,//TODO the Assert below worked. need to check //Should we compare each field or convert to V2 counter and compare,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2014-02-05,Jing Zhao,HDFS-5873. dfs.http.policy should have higher precedence over dfs.https.enable. Contributed by Haohui Mai.,NULL,NULL,NULL,d598b6ef9f10ae011fecbe198360cde63a4e4d50,NULL
DESIGN,//TODO the Assert below worked. need to check //Should we compare each field or convert to V2 counter and compare,2014-02-05,Jing Zhao,HDFS-5873. dfs.http.policy should have higher precedence over dfs.https.enable. Contributed by Haohui Mai.,NULL,NULL,NULL,d598b6ef9f10ae011fecbe198360cde63a4e4d50,NULL
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2013-09-27,Alejandro Abdelnur,YARN-1021. Yarn Scheduler Load Simulator. (ywskycn via tucu),NULL,NULL,NULL,58b08e11b9f04c9190ab4a07473f0ee04e01ec6b,NULL
DESIGN,//TODO the Assert below worked. need to check //Should we compare each field or convert to V2 counter and compare,2013-09-27,Alejandro Abdelnur,YARN-1021. Yarn Scheduler Load Simulator. (ywskycn via tucu),NULL,NULL,NULL,58b08e11b9f04c9190ab4a07473f0ee04e01ec6b,NULL
DESIGN,// We should clear all node entries from this set. // TODO : Once we have per node master key then it will change to only // remove specific node from it.,2013-06-16,Vinod Kumar Vavilapalli,YARN-693. Modified RM to send NMTokens on allocate call so that AMs can then use them for authentication with NMs. Contributed by Omkar Vinit Joshi.,NULL,NULL,NULL,769a0bd8314cd7317c083a9b74abf47242acb58c,NULL
DESIGN,// TODO: create security tests,2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-06,Aaron Myers,HDFS-3893. QJM: Make QJM work with security enabled. Contributed by Aaron T. Myers.,74d4573a23db5586c6e47ff2277aa7c35237da34,df801074c929d5414b92cc9fc0cc8a2794e02751
DESIGN,"// TODO: above principal is not correct, since each JN will have a // different hostname.",2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-06,Aaron Myers,HDFS-3893. QJM: Make QJM work with security enabled. Contributed by Aaron T. Myers.,74d4573a23db5586c6e47ff2277aa7c35237da34,df801074c929d5414b92cc9fc0cc8a2794e02751
DESIGN,// Copy MRAppJar and make it private. TODO: FIXME. This is a hack to // workaround the absent public discache.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,"// lr1 is not used by anyone and will be removed, only lr3 will hang // around",2013-04-03,Vinod Kumar Vavilapalli,YARN-467. Modify public distributed cache to localize files such that no local directory hits unix file count limits and thus prevent job failures. Contributed by Omkar Vinit Joshi.,NULL,NULL,NULL,e67e3ff05db26437b1d7c6d3dd958362fb8425db,NULL
DESIGN,// Now I need to simulate a race condition wherein Event is added to // dispatcher before resource state changes to either FAILED or LOCALIZED // Hence sending event directly to dispatcher.,2013-04-19,Vinod Kumar Vavilapalli,YARN-547. Fixed race conditions in public and private resource localization which used to cause duplicate downloads. Contributed by Omkar Vinit Joshi.,NULL,NULL,NULL,c570309b078d3c6080e89cd90c7c2157a270aaca,NULL
DESIGN,// Now I need to simulate a race condition wherein Event is added to // dispatcher before resource state changes to either FAILED or LOCALIZED // Hence sending event directly to dispatcher.,2016-02-11,Arun Suresh,YARN-2575. Create separate ACLs for Reservation create/update/delete/list ops (Sean Po via asuresh),NULL,NULL,NULL,23f937e3b718f607d4fc975610ab3a03265f0f7e,NULL
DESIGN,"// TODO: we only need to do this once, not on writer switchover.",2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-10,Todd Lipcon,HDFS-3900. QJM: avoid validating log segments on log rolls. Contributed by Todd Lipcon.,74d4573a23db5586c6e47ff2277aa7c35237da34,60c20e559b8036410e2d9081b9c60d1e04e56253
DESIGN,"// TODO: if a JN goes down and comes back up, then it will throw // this exception on every edit. We should instead send back // a response indicating the log needs to be rolled, which would // mark the logger on the client side as ""pending"" -- and have the // NN code look for this condition and trigger a roll when it happens. // That way the node can catch back up and rejoin",2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-06,Todd Lipcon,"HDFS-3726. If a logger misses an RPC, don't retry that logger until next segment. Contributed by Todd Lipcon.",74d4573a23db5586c6e47ff2277aa7c35237da34,cae8116a146cb27d40e4e41cece9a17945bc7f9c
DESIGN,// TODO: should other requests check the _exact_ epoch instead of // the <= check? <= should probably only be necessary for the // first calls,2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-19,Todd Lipcon,"HDFS-3950. QJM: misc TODO cleanup, improved log messages, etc. Contributed by Todd Lipcon.",74d4573a23db5586c6e47ff2277aa7c35237da34,663e7484c04c197eed53f10a7808140f1c955277
DESIGN,// TODO: some check on serial number that they only increase from a given // client,2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-19,Todd Lipcon,"HDFS-3950. QJM: misc TODO cleanup, improved log messages, etc. Contributed by Todd Lipcon.",74d4573a23db5586c6e47ff2277aa7c35237da34,663e7484c04c197eed53f10a7808140f1c955277
DESIGN,// TODO: this is slow to validate when in non-recovery cases // we already know the length here!,2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,2012-09-10,Todd Lipcon,HDFS-3900. QJM: avoid validating log segments on log rolls. Contributed by Todd Lipcon.,74d4573a23db5586c6e47ff2277aa7c35237da34,60c20e559b8036410e2d9081b9c60d1e04e56253
